Nem;Stílus;Csoport;Gyakorlat;Súlycsoport;Név;Egyesület;Születési év;Testsúly;Eredmény;Dátum;Helyszín;Verseny
Férfi;EQ;Junior;Fekvenyomás;-83kg;Rácz Dávid;Mérk Kinizsi SE;1996;80,45;180,0;2017.10.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-93kg;Sebestyén Tamás;Barcsi VSE;1992;90,70;205,5;2015.09.19;Orosháza;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-105kg;Opra Gergő;Barcsi VSE;1994;101,85;230,0;2016.12.17;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-120kg;Farkas Ádám;Orosházi Toldi SE;1992;117,20;303,0;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;120+kg;Véró Alex;Orosházi Toldi;1996;168,40;301,5;2018.10.27-28;Orosháza;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Felhúzás;-53kg;Nagy Viktor;Herkules SE;1995;52,50;160,0;2018.10.06;Orosháza;Junior RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Felhúzás;-59kg;Somodi Vince;Familya SC;1995;57,60;175,0;2011.10.07-09;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Felhúzás;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;64,20;235,0;2015.04.07-11;Orosháza;Ifi Junior Erőemelő Európa Bajnokság
Férfi;EQ;Junior;Felhúzás;-74kg;Posta Krisztián;Vitalitás SE;2000;73,80;250,0;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Férfi;EQ;Junior;Felhúzás;-83kg;Kulcsár Dávid;Popeye Power Nyíregyháza;1996;82,74;275,0;2015.03.21-28;Pilsen (CZE);Junior RAW Erőemelő Európa Bajnokság
Férfi;EQ;Junior;Felhúzás;-93kg;Horváth Péter;Flex SE;1991;92,30;305,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Felhúzás;-105kg;Hegedűs Áron;Westfit Gym SE;1996;104,40;330,0;2019.11.29-12.08;Kaunas (LTU);Junior RAW Erőemelő Európa Bajnokság
Férfi;EQ;Junior;Felhúzás;-120kg;Bereczki Szilárd;Sirius Lifting SE;1999;111,20;305,0;2021.08.28;Baja;II.o RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Felhúzás;120+kg;Seres Zoltán;KeletEreje Nyíregyháza;1995;129,40;332,5;2018.11.24-12.02;Kaunas (LTU);Junior RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Összetett;-59kg;alaprekord;;;;480,0;2011.01.01;;
Férfi;EQ;Masters 1;Összetett;-66kg;alaprekord;;;;500,0;2011.01.01;;
Férfi;EQ;Masters 1;Összetett;-74kg;Varga István;TIFIT;1968;73,30;552,5;2012.04.14-15;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Összetett;-83kg;Hornyák Péter;Sirius Lifting SE;1979;81,70;655,0;2019.03.05-10;Győr;Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Összetett;-93kg;Fekete Miklós;Sirius Lifting SE;1973;92,65;767,5;2021.07.07-13;Pilsen (CZE);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Összetett;-105kg;Menyhárt Péter;Attila Fitness SE;1973;102,85;712,5;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Összetett;-120kg;Pánisz László;Hajdúszoboszlói BSE;1972;117,50;781,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Összetett;120+kg;Szegi Attila;Mérk Kinizsi SE;1976;133,70;755,5;2019.11.02-03;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Guggolás;-59kg;alaprekord;;;;150,0;2011.01.01;;
Férfi;EQ;Masters 1;Guggolás;-66kg;Tóth Ferenc;Pannónia Power;1966;66,00;180,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Guggolás;-74kg;Béres Zsolt;Familya Jászapáti;1978;72,80;197,0;2018.10.27-28;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Guggolás;-83kg;Fekete Miklós;Avas TK;1973;82,60;235,0;2015.03.21-28;Pilsen (CZE);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Guggolás;-93kg;Fekete Miklós;Sirius Lifting SE;1973;92,65;270,0;2021.07.07-13;Pilsen (CZE);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Guggolás;-105kg;Menyhárt Péter;Attila Fitness SE;1973;102,85;255,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Guggolás;-120kg;Pánisz László;Hajdúszoboszlói BSE;1972;117,50;300,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Guggolás;120+kg;Papp Zsolt;PowerBuilder SE;1979;141,30;285,5;2021.06.27;Budapest;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Fekvenyomás;-59kg;alaprekord;;;;105,0;2011.01.01;;
Férfi;EQ;Masters 1;Fekvenyomás;-66kg;Molnár Gábor;RKA Erőművek SE;1978;65,96;160,0;2018.10.27-28;Orosháza;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Fekvenyomás;-74kg;Molnár Gábor;RKA Erőművek SE;1978;68,90;160,0;2019.11.02-03;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Fekvenyomás;-83kg;Gyuricska István;Ózdi SFC;1967;80,70;182,5;2014.05.16-18;Tab;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Fekvenyomás;-93kg;Sáfrány Zoltán;Tabi Fitnesz Klub;1960;91,85;190,0;2013.12.14-15;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Fekvenyomás;-105kg;alaprekord;;;;205,0;2011.01.01;;
Férfi;EQ;Masters 1;Fekvenyomás;-120kg;alaprekord;;;;220,0;2011.01.01;;
Férfi;EQ;Masters 1;Fekvenyomás;120+kg;alaprekord;;;;235,0;2011.01.01;;
Férfi;EQ;Masters 1;Felhúzás;-59kg;Bali József;Gyulai Atlasz SE;1973;57,80;165,0;2019.04.06-07;Székesfehérvár;II.o. Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-66kg;Tóth Ferenc;Pannónia Power;1966;65,70;200,0;2015.05.01-02;Tab;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-74kg;Solymosi Péter;Vasdisznó SE;1979;73,30;217,5;2021.06.26;Budapest;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;277,5;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-93kg;Fekete Miklós;Sirius Lifting SE;1973;92,65;310,0;2021.07.07-13;Pilsen (CZE);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-105kg;Menyhárt Péter;Attila Fitness SE;1973;102,20;285,0;2015.05.01-02;Tab;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Felhúzás;-120kg;Pánisz László;Hajdúszoboszlói BSE;1972;118,00;315,5;2016.05.01;Tab;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 1;Felhúzás;120+kg;Papp Zsolt;PowerBuilder SE;1979;141,30;300,5;2021.06.27;Budapest;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Összetett;-59kg;alaprekord;;;;450,0;2011.01.01;;
Férfi;EQ;Masters 2;Összetett;-66kg;alaprekord;;;;460,0;2011.01.01;;
Férfi;EQ;Masters 2;Összetett;-74kg;Orosz László;Bátor Fitt Erőemelő Klub;1969;70,90;505,0;2019.03.05-10;Győr;Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Összetett;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;647,5;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Összetett;-93kg;Sáfrány Zoltán;Tabi Fitness Klub;1960;91,35;590,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Összetett;-105kg;Lovász György;Gyulai Atlasz SE;1947;104,23;670,0;2012.07.17-21;Pilsen (CZE);Masters Erőemelő Európabajnokság
Férfi;EQ;Masters 2;Összetett;-120kg;Mamedov Iaman;Uralsport;1960;105,05;730,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Összetett;120+kg;Szolnoki Béla;Gyulai Atlas SE;1969;123,90;702,5;2019.04.06-07;Székesfehérvár;II.o. Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Guggolás;-59kg;alaprekord;;;;140,0;2011.01.01;;
Férfi;EQ;Masters 2;Guggolás;-66kg;alaprekord;;;;150,0;2011.01.01;;
Férfi;EQ;Masters 2;Guggolás;-74kg;Orosz László;Bátor Fitt Erőemelő Klub;1969;70,90;172,5;2019.03.05-10;Győr;Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Guggolás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;230,0;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Guggolás;-93kg;Ficzere Tamás;Sirius Lifting SE;1970;85,60;217,5;2020.09.12-13;Szombathely;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Guggolás;-105kg;Lovász György;Gyulai Atlasz SE;1947;104,23;250,0;2012.07.17-21;Pilsen (CZE);Masters Erőemelő Európabajnokság
Férfi;EQ;Masters 2;Guggolás;-120kg;Mamedov Iaman;Uralsport;1960;105,05;300,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
